rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:309,309,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Craig of Minnesota Part B Amendment No. 63,2019,116,1
2019:310,310,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Craig of Minnesota Part B Amendment No. 64,2019,116,1
2019:311,311,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Porter of California Part B Amendment No. 65,2019,116,1
2019:312,312,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Porter of California Part B Amendment No. 66,2019,116,1
2019:313,313,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Porter of California Part B Amendment No. 67,2019,116,1
2019:314,314,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Mucarsel-Powell of Florida Part B Amendment No. 68,2019,116,1
2019:315,315,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Levin of Michigan Part B Amendment No. 70,2019,116,1
2019:316,316,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Pressley of Massachusetts Part B Amendment No. 71,2019,116,1
2019:317,317,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Spanberger of Virginia Part B Amendment No. 74,2019,116,1
2019:318,318,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Delgado of New York Part B Amendment No. 75,2019,116,1
2019:319,319,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Crow of Colorado Part B Amendment No. 76,2019,116,1
2019:320,320,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Houlahan of Pennsylvania Part B Amendment No. 77,2019,116,1
2019:321,321,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Pocan of Wisconsin Part B Amendment No. 1,2019,116,1
2019:322,322,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Pascrell of New Jersey Part B Amendment No. 2,2019,116,1
2019:323,323,18-Jun,H.R.2740,On Motion that the Committee Rise,P,"Making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:324,324,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Lesko of Arizona Part B Amendment No. 78,2019,116,1
2019:325,325,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Jackson Lee of Texas Part B Amendment No. 79,2019,116,1
2019:326,326,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Jackson Lee of Texas Part B Amendment No. 80,2019,116,1
2019:327,327,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Gosar of Arizona Part B Amendment No. 81,2019,116,1
2019:328,328,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Grijalva of Arizona Part B Amendment No. 82,2019,116,1
